url,country,title,steps,rating,dish_type,ingredients,Prep Time,Cook Time,Total Time,Servings,Calories,Fat,Carbs,Protein
https://www.allrecipes.com/recipe/81568/afghan-beef-raviolis-mantwo/,Afghanistan,Afghan Beef Raviolis (Mantwo),"['In a small bowl, stir together yogurt, mint, and garlic. Refrigerate.', 'In a large skillet over medium heat, cook ground beef and onions until meat is browned, stirring occasionally to crumble; drain fat. Stir in 1 cup water, carrot, salt, black pepper, 1 1/2 teaspoons coriander, and 1/2 teaspoon cumin; simmer uncovered for 30 minutes or until water evaporates.', 'Lay out wonton wrappers on aluminum foil. Mound two large spoonfuls of beef mixture in the center of one wrapper. Dip a finger in water and trace it around all four edges. Lay a second wonton wrapper on top of the first, and press on all edges to seal. Roll up the edges to create a round, hat-shaped ravioli. Repeat, making 13 ravioli.', 'Place ravioli in steamer and steam 40 minutes.', 'Meanwhile, mix together the yellow split peas, 1/8 teaspoon red pepper flakes, 1 teaspoon coriander, 1/4 teaspoon cumin, chicken bouillon, and 1 1/2 cups of water in a saucepan. Bring to a boil, then simmer over medium-low heat for about 45 minutes, or until it reaches a thick slurry-like consistency.', 'Meanwhile, in the large skillet, mix remaining beef mixture with 2 tablespoons water, tomato paste, and 1/8 teaspoon red pepper flakes. Simmer over low heat until liquid has evaporated, about 10 minutes.', 'To serve, spread yogurt on a serving plate. Top with ravioli, and top again with split pea mixture. Finally, top with tomato and beef mixture. Serve immediately.']",4.3,Unknown,"['plain yogurt', 'ground beef', 'water', 'carrot', 'salt', 'black pepper', 'ground coriander', 'ground cumin', 'wonton wrappers', 'tomato paste', 'pepper flakes', 'water', 'pepper flakes', 'ground coriander', 'ground cumin', 'chicken bouillon', 'water']",45 mins,1 hr 25 mins,2 hrs 10 mins,4,506.0,16,57,34
https://www.allrecipes.com/recipe/179627/aush-afghani-chili/,Afghanistan,Aush (Afghani Chili),"['Brown ground beef in a skillet over medium heat; remove beef with a slotted spoon to a large pot, reserving drippings in the skillet. Cook and stir onion in reserved drippings until golden brown; remove with a slotted spoon and add to beef in the pot. Stir tomatoes with juice, garlic, red pepper, cumin, chili powder, mint, garam masala, garbanzo beans, and spinach into beef mixture; simmer over low heat for 3 to 6 hours.', 'Fill a large pot with lightly salted water and bring to a rolling boil over high heat; stir in fettuccini and return to a boil. Cook pasta uncovered, stirring occasionally, until cooked through but still firm to the bite, about 8 minutes. Drain well; stir pasta into the chili along with sour cream. Serve hot.']",4.4,Unknown,"['ground beef', 'onion', 'garlic', 'garam masala', 'box', 'sour cream']",15 mins,3 hrs 10 mins,3 hrs 25 mins,6,613.0,21,79,30
https://www.allrecipes.com/recipe/165713/afghan-tomato-soup-aush-goshti/,Afghanistan,Afghan Tomato Soup (Aush Goshti),"['Melt butter in a large pot over medium heat. Cook onions in butter until they begin to soften, about 10 minutes; stir in garlic and cook for one minute. Add ground beef and cook until beef loses its pink color, 10 to 15 minutes, stirring occasionally to break up lumps. Stir in the tomato paste, tomato juice, water, and garbanzo beans. Season with salt, pepper, dry mustard, dill, cilantro, chili paste, and lemon juice. Bring to a boil, then reduce heat to low. Simmer uncovered 30 minutes.', 'Increase heat and bring mixture to a low boil; add fettuccine, reduce heat to medium-low and cook until fettuccine is tender, about 10 minutes. Adjust seasonings adding more chile paste, salt, or lemon juice as desired. If soup seems too thick, thin with a little water.']",4.3,Unknown,"['butter', 'onion', 'ground beef', 'tomato', 'tomato juice', 'water', 'salt', 'black pepper', 'dry mustard', 'chili paste']",15 mins,1 hr 15 mins,1 hr 30 mins,8,383.0,7,63,17
https://www.allrecipes.com/recipe/231795/afghani-kabli-pulao/,Afghanistan,Afghani Kabli Pulao,"['Make the broth: Place halved onion, garlic head, cinnamon stick, cardamom pods, pepper, cumin seed, salt, sugar, paprika, coriander seeds, and cloves into a pressure cooker. Pour in water to cover.', ""Close the cooker securely and place the pressure regulator over the vent according to manufacturer's instructions. Set to high and heat until steam escapes in a steady flow and makes a whistling sound, about 5 minutes. Reduce to medium and cook for 20 minutes. Let the pressure release naturally, about 10 minutes. Unlock the lid and remove."", 'When the broth is almost finished, start the rice: Soak rice in cool water for 5 minutes, then rinse until water runs clear.', 'Strain cooled broth into a bowl. Clean out the pressure cooker, then place over medium heat and add oil.', 'Add onion and garlic to the cooker; cook and stir until softened and browned, 7 to 10 minutes. Stir in carrots and cook until soft, about 3 minutes more. Add strained rice, raisins, almonds, cumin seed, pepper, cardamom powder, and clove. Stir to combine, then pour in enough broth to cover.', 'Close the cooker securely and seal the vent; set to high and heat until the first whistle, 5 to 7 minutes. Reduce to medium and cook for 5 minutes. Remove from the heat and let rest for 7 minutes, then let pressure release naturally, about 10 minutes. Immediately transfer cooked rice to a serving dish to prevent overcooking.']",4.8,Unknown,"['onion', 'head garlic', 'loose skins', 'cinnamon stick', 'cardamom pods', 'black pepper', 'cumin seed', 'salt', 'white sugar', 'paprika', 'coriander seeds', 'water']",25 mins,42 mins,1 hr 39 mins,6,378.0,8,71,9
https://www.allrecipes.com/recipe/245421/afghan-sweet-bread-roht/,Afghanistan,Afghan Sweet Bread (Roht),"['Preheat oven to 375 degrees F (190 degrees C). Grease one 11x13-inch rectangular baking dish.', 'Whisk flour, baking powder, cardamom, and salt together in a bowl.', 'Whisk eggs together in a small bowl. Discard 1/4 of the egg mixture. Combine remaining egg mixture, butter, and sugar in a large bowl; beat with an electric mixer on medium speed until smooth, about 3 minutes. Fold the flour mixture into the egg mixture slowly. Beat briefly on low speed just until dough comes together.', 'Transfer dough to the baking dish. Dust your hands with flour and pat dough into an even layer about 3/4-inch thick. Prick dough in several places with a fork and sprinkle the nigella seeds evenly on top.', 'Bake in the preheated oven until lightly golden, 20 to 25 minutes. Remove from the oven and run a knife around the edges to loosen it from the pan; cut roht into squares while still warm. Let cool.']",1.0,Unknown,"['ground cardamom', 'salt', 'eggs', 'white sugar', 'nigella seeds']",20 mins,20 mins,40 mins,10,393.0,20,49,5
https://www.allrecipes.com/recipe/258887/khobz-el-dar-algerian-semolina-bread/,Algeria,Khobz el Dar (Algerian Semolina Bread),"['Mix 1/2 cup plus 2 tablespoons semolina, 2 tablespoons sesame seeds, sugar, yeast, and salt together in a large bowl. Whisk in oil, egg, and egg white. Stir in warm milk slowly until a liquid dough forms.', 'Cover the bowl with a plate or plastic wrap; let stand at room temperature until frothy, about 1 hour.', 'Stir in 2 3/4 cups flour with a wooden spoon until a sticky dough forms. Cover again and allow to rest for 30 minutes.', 'Line a baking sheet with parchment paper or a baking mat.', 'Sprinkle 1 tablespoon flour over the dough and your hands. Mix dough, adding flour as needed, 1 tablespoon at a time, until it pulls away from the sides of the bowl. Shape into a round loaf and place on the prepared baking sheet. Cover loosely with a towel and let rise for 1 hour in a warm place until loaf doubles in volume.', 'Preheat oven to 400 degrees F (200 degrees C).', 'Beat egg yolk and water in a bowl with a fork; brush over the entire surface of the loaf. Sprinkle 1 tablespoon sesame seeds on top.', 'Bake in the preheated oven until loaf is golden brown, about 20 to 25 minutes.']",4.5,Unknown,"['semolina flour', 'semolina flour', 'white sugar', 'active dry yeast', 'salt', 'vegetable oil', 'egg', 'egg', 'lukewarm milk', 'water']",30 mins,20 mins,3 hrs 20 mins,8,293.0,11,40,8
https://www.allrecipes.com/recipe/72363/algerian-bouzgene-berber-bread-with-roasted-pepper-sauce/,Algeria,Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,"[""Preheat your oven's broiler. Place red bell peppers and tomatoes on a baking sheet, and roast under the broiler for about 8 minutes, turning occasionally. This should blacken the skin and help it peel off more easily. Cool, then scrape the skins off of the tomatoes and peppers, and place them in a large bowl. Remove cores and seeds from the bell peppers."", 'Heat 1 tablespoon of olive oil in a skillet over medium heat. Add the jalapenos and garlic, and cook until tender, stirring frequently. Remove from heat, and transfer the garlic and jalapeno to the bowl with the tomatoes and red peppers. Using two sharp steak knives (one in each hand), cut up the tomatoes and peppers to a coarse and soupy consistency. Stir, and set sauce aside.', 'Place the semolina in a large bowl, and stir in salt and 4 tablespoons of olive oil. Gradually add water while mixing and squeezing with your hand until the dough holds together without being sticky or dry, and molds easily with the hand. Divide into 6 pieces and form into balls.', 'For each round, heat 1 tablespoon of olive oil in a large heavy skillet over medium heat. Roll out dough one round at a time, to no thicker than 1/4 inch. Fry in the hot skillet until dark brown spots appear on the surface, and they are crispy. Remove from the skillet, and wrap in a clean towel while preparing the remaining flat breads.', 'To eat the bread and sauce, break off pieces of the bread, and scoop them into the sauce. It will slide off, but just keep reaching in!']",4.7,Unknown,"['red bell peppers', 'tomatoes', 'olive oil', 'jalapeno pepper', 'salt', 'semolina', 'salt', 'water', 'olive oil', 'olive oil']",20 mins,20 mins,40 mins,5,796.0,17,134,23
https://www.allrecipes.com/recipe/258885/dersa-algerian-chile-paste/,Algeria,Dersa (Algerian Chile Paste),"['Place garlic, chile pepper, cumin, paprika, cayenne pepper, salt, and pepper in a mortar; grind into a paste using a pestle. Pour in olive oil and mix well.']",4.3,Unknown,"['germ', 'ground cumin', 'paprika', 'cayenne pepper', 'salt', 'black pepper', 'olive oil']",15 mins,N/A,15 mins,4,70.0,7,2,1
https://www.allrecipes.com/recipe/153802/algerian-flafla-bell-pepper-salad/,Algeria,Algerian Flafla (Bell Pepper Salad),"['Preheat an oven to 450 degrees F (230 degrees C). Place the whole peppers on aluminum foil. Bake until the skin is spotted black and the peppers are soft, 30 to 45 minutes, turning the peppers once if necessary.', 'Remove peppers from the oven and set aside to cool for 10 minutes. Peel off the skin and remove the stem and seeds. Chop the roasted peppers into half-inch pieces.', 'Heat the olive oil in a skillet over medium heat. Stir in the onion and cook, stirring frequently, until the onion has softened and turned translucent, about 5 minutes. Add the garlic, salt, and pepper; stir in the chopped peppers and tomato. Cook over medium heat, stirring occasionally, until the tomato is soft and the mixture is well incorporated, about 5 minutes.']",4.1,Unknown,"['green bell peppers', 'olive oil', 'garlic', 'salt', 'roma']",15 mins,40 mins,55 mins,4,53.0,4,5,1
https://www.allrecipes.com/recipe/69501/dziriat-algerian-almond-tarts/,Algeria,Dziriat (Algerian Almond Tarts),"['Prepare the almonds the day before. Bring 6 cups of water to a boil. Remove from heat, and add the almonds. Let the almonds soak in water for about 5 minutes, then drain and peel. Spread the almonds on baking sheets, and bake at 200 degrees F(95 degrees C) until completely dry and toasted. This takes several hours, and needs to be prepared ahead. Be careful not to burn the nuts, as this will give a bitter taste to the filling.', 'Combine 1 cup sugar and 1 cup water in a saucepan, and bring to a boil. Add 1 teaspoon lemon juice, reduce heat to low, and let it simmer until syrupy, about 30 to 40 minutes. Stir in orange blossom water, and remove from heat. Set sugar syrup aside.', 'Combine flour and salt in a large mixing bowl. Make a hole in the center, and pour oil, egg, 1/2 teaspoon lemon juice, and 1 tablespoon orange blossom water into the center. Mix with fingers until the dough resembles coarse crumbs. Gradually sprinkle with warm water while mixing until the dough becomes soft and pliable. Divide into 4 equal portions. Cover dough with a wet cloth, and set aside.', 'In a food processor, finely grind the almonds. Measure 3 cups of the finely ground almonds into a mixing bowl, and stir together with 1 cup sugar, baking powder, vanilla powder, lemon zest, and 2 tablespoons orange flower water. Mix in three eggs one at a time, stirring constantly; mix until you get a sticky, paste-like mixture.', 'Sprinkle cornstarch on the rolling surface to prevent sticking. Roll each portion of dough very thinly, 1 to 2 millimeters (1/16 inch). Cut the rolled dough into circles of about 10 centimeters (4 inches) in diameter each. Lightly wipe the surface of each circle with cornstarch, and fit into a tart mold, cornstarch side down to prevent sticking. Gently press the dough onto the sides and bottom of the mold, and trim extra dough from around the rim. Fill three quarters of each mold with the almond filling.', 'Bake on the top shelf at 350 degrees F (175 degrees C) for 20 to 25 minutes, or until the surface of the tart is golden and the dough is firm. Remove the tarts from the molds as soon as they come out of the oven. Dip each tart in the sugar syrup while still hot. Stick a pine nut into the middle of each tart for decoration. Place on a wire rack to drain.']",5.0,Unknown,"['white sugar', 'water', 'lemon juice']",2 hrs,25 mins,1 day 2 hrs 25 mins,40,170.0,9,19,5
