cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class
Afghanistan,5,10.0,0.8,0.4,0.6,0.2,0.0,0.4,0.0,0.0,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.8,0.2,0.6,0.0,0.6,0.0,0.0,0.2,560.621505463146,357.261152798144,-0.36274090573282597,Low Income
Algeria,9,14.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.8888888888888888,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,4912.78585503672,4961.55257664733,0.009926490396607292,Upper-Middle Income
Argentina,30,8.633333333333333,0.23333333333333334,0.03333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.23333333333333334,0.1,0.13333333333333333,0.1,0.7666666666666667,0.5,0.2,0.0,0.06666666666666667,0.0,0.8333333333333334,0.06666666666666667,0.4,0.16666666666666666,0.5,0.0,0.0,0.36666666666666664,10260.1313108254,13935.6811110049,0.358236136442177,High Income
Armenia,16,7.25,0.375,0.0625,0.3125,0.125,0.0,0.5,0.1875,0.125,0.1875,0.5625,0.375,0.25,0.0625,0.0,0.125,0.75,0.0625,0.4375,0.0,0.5,0.0,0.0625,0.25,3041.34450723339,6571.97445545099,1.1608780063621589,Upper-Middle Income
Australia,18,12.944444444444445,1.8333333333333333,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.0,0.1111111111111111,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.0,0.0,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.2777777777777778,0.0,0.0,0.4444444444444444,52144.6654705468,64997.0136536475,0.24647484200201009,High Income
Austria,18,8.166666666666666,1.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.1111111111111111,0.3888888888888889,0.0,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.0,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.6111111111111112,0.0,0.5,0.1111111111111111,0.05555555555555555,0.0,0.0,0.7777777777777778,46611.1393420232,52176.6649141178,0.11940333685593672,High Income
Bahamas,4,9.0,0.0,0.0,0.25,0.25,0.0,1.0,0.25,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.0,0.25,,,,Unknown
Bangladesh,12,26.583333333333332,2.25,0.16666666666666666,0.25,0.0,0.3333333333333333,0.5833333333333334,0.0,0.08333333333333333,0.25,0.9166666666666666,1.0,0.25,0.08333333333333333,0.08333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.08333333333333333,757.385280361508,2716.48592677835,2.5866632178034177,Lower-Middle Income
Barbados,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18860.3833703309,22164.0260273876,0.17516307024032357,High Income
Belarus,1,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6034.67885177216,7994.64806074889,0.32478434347855323,Upper-Middle Income
Belgium,19,7.0,0.5789473684210527,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.42105263157894735,0.7368421052631579,0.5263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.9473684210526315,0.15789473684210525,0.5789473684210527,0.10526315789473684,0.21052631578947367,0.0,0.0,0.5263157894736842,44197.393671162,50807.2047084918,0.14955205473219085,High Income
Belize,3,10.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,5451.13897172477,7068.45478269722,0.29669319005835626,Upper-Middle Income
Bhutan,1,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2435.57980661188,3711.32767902157,0.5237963744593428,Lower-Middle Income
Bolivia (Plurinational State of),2,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,Unknown
Bosnia and Herzegovina,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4506.47828548389,7655.59421024383,0.6987975366271622,Upper-Middle Income
Brazil,24,6.708333333333333,0.5,0.08333333333333333,0.25,0.125,0.0,0.2916666666666667,0.25,0.08333333333333333,0.3333333333333333,0.5,0.375,0.20833333333333334,0.0,0.08333333333333333,0.0,0.6666666666666666,0.041666666666666664,0.5833333333333334,0.041666666666666664,0.4166666666666667,0.0,0.0,0.25,11403.2821284616,9281.33334441234,-0.18608228404285995,Upper-Middle Income
Bulgaria,3,8.333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,6863.66706774052,13644.201582807,0.9878880266403413,High Income
Cambodia,5,8.2,1.6,0.0,0.0,0.4,0.8,0.4,0.6,0.2,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.6,0.0,0.6,0.0,0.0,0.0,952.274616324008,2325.03050040841,1.4415546319858288,Lower-Middle Income
Canada,164,8.408536585365853,0.9329268292682927,0.22560975609756098,0.20121951219512196,0.09146341463414634,0.06097560975609756,0.27439024390243905,0.13414634146341464,0.09146341463414634,0.36585365853658536,0.4817073170731707,0.4146341463414634,0.10975609756097561,0.012195121951219513,0.018292682926829267,0.09146341463414634,0.573170731707317,0.22560975609756098,0.4451219512195122,0.06707317073170732,0.4268292682926829,0.0,0.012195121951219513,0.25609756097560976,47560.6666009406,55509.393176404,0.16712815743642664,High Income
Central African Republic,1,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,476.873786950728,467.359825026238,-0.019950691744507653,Low Income
Chile,24,12.5,0.75,0.0,0.20833333333333334,0.08333333333333333,0.0,0.20833333333333334,0.3333333333333333,0.125,0.375,0.4583333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.0,0.4583333333333333,0.0,0.375,0.0,0.0,0.2916666666666667,12632.8704725219,15451.1319576678,0.2230895576168518,High Income
China,213,13.014084507042254,1.3849765258215962,0.009389671361502348,0.3568075117370892,0.3615023474178404,0.2347417840375587,0.38028169014084506,0.07511737089201878,0.6291079812206573,0.4647887323943662,0.6338028169014085,0.18779342723004694,0.023474178403755867,0.107981220657277,0.07511737089201878,0.009389671361502348,0.45539906103286387,0.5633802816901409,0.5305164319248826,0.009389671361502348,0.6291079812206573,0.0,0.03286384976525822,0.26291079812206575,4550.47394356715,12662.5826712038,1.7826953473944096,Upper-Middle Income
Colombia,10,10.5,0.9,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.3,0.7,0.2,0.1,0.0,0.1,0.1,0.8,0.0,0.6,0.0,0.3,0.0,0.0,0.2,6398.2958447102,6674.59601948063,0.043183400936182365,Upper-Middle Income
Costa Rica,3,5.666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,8265.78820275582,13625.9008491328,0.648469633493623,High Income
Croatia,2,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,13731.2865213989,18466.0955472648,0.3448190392420367,High Income
Cuba,69,10.46376811594203,0.36231884057971014,0.07246376811594203,0.2898550724637681,0.11594202898550725,0.028985507246376812,0.37681159420289856,0.4927536231884058,0.10144927536231885,0.17391304347826086,0.6376811594202898,0.5507246376811594,0.463768115942029,0.0,0.08695652173913043,0.057971014492753624,0.6521739130434783,0.18840579710144928,0.4782608695652174,0.014492753623188406,0.5652173913043478,0.0,0.0,0.028985507246376812,5272.26755824835,,,Unknown
Cyprus,2,7.5,1.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,31105.02734375,33938.9453125,0.09110803657015351,High Income
Czech Republic,17,12.352941176470589,1.5294117647058822,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.0,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.4117647058823529,0.6470588235294118,0.29411764705882354,0.0,0.11764705882352941,0.0,0.0,0.5882352941176471,0.23529411764705882,0.47058823529411764,0.058823529411764705,0.23529411764705882,0.0,0.17647058823529413,0.47058823529411764,,,,Unknown
Denmark,24,11.416666666666666,1.9583333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.625,0.75,0.5833333333333334,0.0,0.16666666666666666,0.0,0.08333333333333333,0.625,0.041666666666666664,0.75,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.5833333333333334,58104.5445594981,68091.3191138669,0.1718759630607295,High Income
