cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Afghanistan,454.6,14.4,63.8,19.0,10.0,0.8,59.1269035339,51.3129119873,40.8846092224,19.2225894928,3,-3.419574076964909,-1.6191598416503028,3
Algeria,303.55555555555554,13.222222222222221,34.44444444444444,12.333333333333334,14.0,0.2222222222222222,75.9776535034,66.3752059937,74.1116409302,23.81498909,4,0.6326270502065131,-0.289566920975916,4
Argentina,309.8965517241379,18.9,26.633333333333333,8.833333333333334,8.733333333333333,0.23333333333333334,77.5779037476,64.7943649292,78.5253677368,35.3552017212,4,0.9934243196841613,-0.04998377809747488,4
Armenia,348.8125,17.0,36.4375,13.25,7.375,0.375,68.5985107422,64.0133056641,68.193107605,24.5090408325,4,-0.2747261846799816,-0.5223888441067548,4
Australia,312.8235294117647,15.055555555555555,32.166666666666664,12.555555555555555,12.944444444444445,1.8333333333333333,84.897819519,70.6063613892,86.7787780762,30.2439098358,2,2.3999531768284217,1.183017551683365,2
Austria,364.3888888888889,15.555555555555555,44.833333333333336,12.0,8.38888888888889,1.0,78.6594619751,70.4923019409,84.5330429077,15.3675403595,2,1.252568648150394,0.9625040558715094,2
Bahamas,503.25,17.5,57.25,31.0,9.0,0.0,73.4727935791,63.1830024719,77.1948471069,47.2575416565,1,-1.3728508162933017,1.7832939265137886,1
Bangladesh,331.6666666666667,16.25,25.583333333333332,21.666666666666668,26.75,2.25,73.1025161743,63.1417770386,51.6194801331,5.30312013626,3,-0.47162480845888116,-0.602300370247616,3
Barbados,530.0,33.0,52.0,7.0,4.0,1.0,78.408782959,66.2138061523,76.9212799072,38.0247993469,1,-0.12266287087388952,2.08593496990382,1
Belarus,162.0,6.0,23.0,5.0,6.0,2.0,73.1232452393,63.7076225281,78.5676269531,21.3746204376,4,2.4095505195569493,-1.6968452501010434,4
Belgium,441.42105263157896,21.263157894736842,52.473684210526315,12.31578947368421,7.0,0.5789473684210527,79.2852325439,69.7946777344,85.5924301147,20.0253696442,2,0.5700185207115195,1.692194312012004,2
